Log - Nov-7-2020 | 17:12:2:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:12:2:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:12:2:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:16:54:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:16:54:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:16:54:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:17:19:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:17:19:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:17:19:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:17:22:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:17:22:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:17:22:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:17:37:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:17:37:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:17:37:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:17:55:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:17:55:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:17:55:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:18:10:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:18:10:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:18:10:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:20:22:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:20:22:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:20:22:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:23:9:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:23:9:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:23:9:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:34:49:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:34:49:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:34:49:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:34:50:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:34:50:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:34:50:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:34:51:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:34:51:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:34:51:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:35:10:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:35:10:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:35:10:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:35:31:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:35:31:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:35:31:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:35:50:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:35:50:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:35:50:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:59:2:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:59:2:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:59:2:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 17:59:2:App just loaded apiRoutes.js
Log - Nov-7-2020 | 17:59:2:App just loaded viewRoutes.js
Log - Nov-7-2020 | 17:59:2:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 18:10:28:App just loaded apiRoutes.js
Log - Nov-7-2020 | 18:10:28:App just loaded viewRoutes.js
Log - Nov-7-2020 | 18:10:28:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 18:11:9:App just loaded apiRoutes.js
Log - Nov-7-2020 | 18:11:9:App just loaded viewRoutes.js
Log - Nov-7-2020 | 18:11:9:Connected to mongodb://localhost:27017/littleeinsteins
Log - Nov-7-2020 | 18:11:20:App just loaded apiRoutes.js
Log - Nov-7-2020 | 18:11:20:App just loaded viewRoutes.js
