Log - Dec-27-2020 | 18:37:46:App just loaded apiRoutes.js
Log - Dec-27-2020 | 18:37:46:App just loaded viewRoutes.js
Log - Dec-27-2020 | 18:37:46:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 19:57:28:App just loaded apiRoutes.js
Log - Dec-27-2020 | 19:57:28:App just loaded viewRoutes.js
Log - Dec-27-2020 | 19:57:28:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:4:53:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:5:8:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:5:28:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:5:28:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:5:28:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:5:31:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:5:31:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:5:31:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:7:9:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:7:9:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:7:9:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:7:33:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:7:33:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:7:33:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:8:0:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:8:0:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:8:0:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:8:1:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:8:1:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:8:1:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:8:22:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:8:22:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:8:22:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:8:31:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:8:31:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:8:31:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:12:40:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:12:40:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:12:40:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:12:47:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:12:47:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:12:47:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:13:37:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:13:37:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:13:37:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:13:39:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:13:39:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:13:39:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:14:32:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:14:32:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:14:32:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:14:45:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:14:45:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:14:45:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:15:6:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:15:6:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:15:6:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:15:10:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:15:10:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:15:10:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:16:10:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:16:10:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:16:10:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-27-2020 | 20:16:29:App just loaded apiRoutes.js
Log - Dec-27-2020 | 20:16:29:App just loaded viewRoutes.js
Log - Dec-27-2020 | 20:16:29:Connected to mongodb://localhost:27017/littleeinsteins
