Log - Jan-8-2021 | 0:4:34:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:4:34:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:4:34:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:5:35:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:5:35:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:5:35:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:6:2:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:6:2:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:6:2:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:8:13:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:8:13:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:8:13:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:8:26:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:8:26:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:8:26:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:9:25:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:9:25:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:9:25:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:10:8:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:10:8:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:10:8:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:10:31:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:10:31:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:10:31:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:13:22:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:13:22:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:13:22:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:13:44:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:13:44:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:13:44:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:14:13:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:14:13:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:14:13:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:16:2:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:16:2:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:16:2:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:16:39:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:16:39:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:16:39:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:17:6:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:17:6:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:17:6:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:21:39:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:21:39:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:21:39:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:23:6:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:23:6:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:23:6:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:25:5:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:25:5:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:25:5:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-8-2021 | 0:26:31:App just loaded apiRoutes.js
Log - Jan-8-2021 | 0:26:31:App just loaded viewRoutes.js
Log - Jan-8-2021 | 0:26:31:Connected to mongodb://localhost:27017/littleeinsteins
