Log - Jan-7-2021 | 1:54:46:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:55:11:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:55:11:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:55:11:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:55:45:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:55:45:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:55:45:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:56:56:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:56:56:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:56:56:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:57:51:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:57:51:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:57:51:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 1:59:2:App just loaded apiRoutes.js
Log - Jan-7-2021 | 1:59:2:App just loaded viewRoutes.js
Log - Jan-7-2021 | 1:59:2:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 2:5:20:App just loaded apiRoutes.js
Log - Jan-7-2021 | 2:5:20:App just loaded viewRoutes.js
Log - Jan-7-2021 | 2:5:20:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 2:10:19:App just loaded apiRoutes.js
Log - Jan-7-2021 | 2:10:19:App just loaded viewRoutes.js
Log - Jan-7-2021 | 2:10:19:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 2:11:6:App just loaded apiRoutes.js
Log - Jan-7-2021 | 2:11:6:App just loaded viewRoutes.js
Log - Jan-7-2021 | 2:11:6:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 2:35:8:App just loaded apiRoutes.js
Log - Jan-7-2021 | 2:35:8:App just loaded viewRoutes.js
Log - Jan-7-2021 | 2:35:8:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 2:54:43:App just loaded apiRoutes.js
Log - Jan-7-2021 | 2:54:43:App just loaded viewRoutes.js
Log - Jan-7-2021 | 2:54:43:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 2:58:33:App just loaded apiRoutes.js
Log - Jan-7-2021 | 2:58:33:App just loaded viewRoutes.js
Log - Jan-7-2021 | 2:58:33:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:13:41:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:13:41:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:13:41:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:14:14:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:14:14:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:14:14:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:14:54:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:14:54:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:14:54:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:15:9:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:15:9:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:15:9:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:15:24:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:15:24:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:15:24:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:15:34:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:15:34:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:15:34:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:15:45:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:15:45:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:15:45:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:17:29:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:17:29:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:17:29:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:18:29:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:18:29:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:18:29:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:19:31:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:19:31:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:19:31:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:21:10:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:21:10:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:21:10:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:21:28:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:21:28:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:21:28:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:21:44:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:21:44:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:21:44:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:26:53:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:26:53:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:26:53:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:27:5:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:27:5:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:27:5:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:27:22:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:27:22:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:27:22:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:27:39:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:27:39:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:27:39:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:28:16:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:28:16:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:28:16:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:28:37:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:28:37:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:28:37:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:28:49:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:28:49:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:28:49:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:29:10:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:29:10:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:29:10:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:29:38:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:29:38:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:29:38:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:29:50:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:29:50:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:29:50:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:33:16:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:33:16:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:33:16:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:33:44:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:33:44:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:33:44:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:33:57:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:33:57:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:33:58:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:34:15:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:34:15:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:34:15:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:36:13:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:36:13:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:36:13:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:36:31:kyle just created a new class (undefined. ID: undefined)
Log - Jan-7-2021 | 3:37:34:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:37:34:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:37:34:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:37:36:kyle just created a new class (undefined. ID: undefined)
Log - Jan-7-2021 | 3:37:47:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:37:47:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:37:47:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:38:21:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:38:21:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:38:21:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:40:12:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:40:12:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:40:12:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:41:57:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:41:57:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:41:57:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:42:11:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:42:11:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:42:11:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:42:41:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:42:41:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:42:41:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:43:45:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:43:45:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:43:45:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:44:1:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:44:1:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:44:1:Connected to mongodb://localhost:27017/littleeinsteins
Log - Jan-7-2021 | 3:44:32:App just loaded apiRoutes.js
Log - Jan-7-2021 | 3:44:32:App just loaded viewRoutes.js
Log - Jan-7-2021 | 3:44:32:Connected to mongodb://localhost:27017/littleeinsteins
