Log - Dec-30-2020 | 20:48:42:App just loaded apiRoutes.js
Log - Dec-30-2020 | 20:48:42:App just loaded viewRoutes.js
Log - Dec-30-2020 | 20:48:49:App just loaded apiRoutes.js
Log - Dec-30-2020 | 20:48:49:App just loaded viewRoutes.js
Log - Dec-30-2020 | 20:48:51:App just loaded apiRoutes.js
Log - Dec-30-2020 | 20:48:51:App just loaded viewRoutes.js
Log - Dec-30-2020 | 20:48:55:App just loaded apiRoutes.js
Log - Dec-30-2020 | 20:48:55:App just loaded viewRoutes.js
Log - Dec-30-2020 | 20:49:0:App just loaded apiRoutes.js
Log - Dec-30-2020 | 20:49:0:App just loaded viewRoutes.js
Log - Dec-30-2020 | 20:49:30:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-30-2020 | 20:51:42:App just loaded apiRoutes.js
Log - Dec-30-2020 | 20:51:42:App just loaded viewRoutes.js
Log - Dec-30-2020 | 20:52:11:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-30-2020 | 21:11:31:App just loaded apiRoutes.js
Log - Dec-30-2020 | 21:11:31:App just loaded viewRoutes.js
Log - Dec-30-2020 | 21:11:31:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-30-2020 | 21:41:32:App just loaded apiRoutes.js
Log - Dec-30-2020 | 21:41:32:App just loaded viewRoutes.js
Log - Dec-30-2020 | 21:41:32:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-30-2020 | 22:38:57:App just loaded apiRoutes.js
Log - Dec-30-2020 | 22:38:57:App just loaded viewRoutes.js
Log - Dec-30-2020 | 22:38:57:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-30-2020 | 22:45:9:App just loaded apiRoutes.js
Log - Dec-30-2020 | 22:45:9:App just loaded viewRoutes.js
Log - Dec-30-2020 | 22:45:9:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-30-2020 | 22:45:31:App just loaded apiRoutes.js
Log - Dec-30-2020 | 22:45:31:App just loaded viewRoutes.js
Log - Dec-30-2020 | 22:45:31:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-30-2020 | 22:45:40:App just loaded apiRoutes.js
Log - Dec-30-2020 | 22:45:40:App just loaded viewRoutes.js
Log - Dec-30-2020 | 22:45:40:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-30-2020 | 23:0:50:App just loaded apiRoutes.js
Log - Dec-30-2020 | 23:0:50:App just loaded viewRoutes.js
Log - Dec-30-2020 | 23:0:50:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-30-2020 | 23:1:1:App just loaded apiRoutes.js
Log - Dec-30-2020 | 23:1:1:App just loaded viewRoutes.js
Log - Dec-30-2020 | 23:1:1:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-30-2020 | 23:2:19:App just loaded apiRoutes.js
Log - Dec-30-2020 | 23:2:19:App just loaded viewRoutes.js
Log - Dec-30-2020 | 23:2:19:Connected to mongodb://localhost:27017/littleeinsteins
