Log - Dec-31-2020 | 2:11:59:App just loaded apiRoutes.js
Log - Dec-31-2020 | 2:11:59:App just loaded viewRoutes.js
Log - Dec-31-2020 | 2:11:59:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 2:29:42:App just loaded apiRoutes.js
Log - Dec-31-2020 | 2:29:42:App just loaded viewRoutes.js
Log - Dec-31-2020 | 2:29:42:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 2:36:48:App just loaded apiRoutes.js
Log - Dec-31-2020 | 2:36:48:App just loaded viewRoutes.js
Log - Dec-31-2020 | 2:36:48:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 2:37:58:App just loaded apiRoutes.js
Log - Dec-31-2020 | 2:37:58:App just loaded viewRoutes.js
Log - Dec-31-2020 | 2:37:58:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 14:51:22:App just loaded apiRoutes.js
Log - Dec-31-2020 | 14:51:22:App just loaded viewRoutes.js
Log - Dec-31-2020 | 14:51:22:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 15:4:27:App just loaded apiRoutes.js
Log - Dec-31-2020 | 15:4:27:App just loaded viewRoutes.js
Log - Dec-31-2020 | 15:4:28:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 15:4:38:App just loaded apiRoutes.js
Log - Dec-31-2020 | 15:4:38:App just loaded viewRoutes.js
Log - Dec-31-2020 | 15:4:38:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 15:12:7:App just loaded apiRoutes.js
Log - Dec-31-2020 | 15:12:7:App just loaded viewRoutes.js
Log - Dec-31-2020 | 15:12:7:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 15:12:26:App just loaded apiRoutes.js
Log - Dec-31-2020 | 15:12:26:App just loaded viewRoutes.js
Log - Dec-31-2020 | 15:12:26:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 15:16:2:App just loaded apiRoutes.js
Log - Dec-31-2020 | 15:16:2:App just loaded viewRoutes.js
Log - Dec-31-2020 | 15:16:2:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 15:17:28:App just loaded apiRoutes.js
Log - Dec-31-2020 | 15:17:28:App just loaded viewRoutes.js
Log - Dec-31-2020 | 15:17:28:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 15:18:14:App just loaded apiRoutes.js
Log - Dec-31-2020 | 15:18:14:App just loaded viewRoutes.js
Log - Dec-31-2020 | 15:18:14:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 15:18:57:App just loaded apiRoutes.js
Log - Dec-31-2020 | 15:18:57:App just loaded viewRoutes.js
Log - Dec-31-2020 | 15:18:57:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 15:23:31:App just loaded apiRoutes.js
Log - Dec-31-2020 | 15:23:31:App just loaded viewRoutes.js
Log - Dec-31-2020 | 15:23:31:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 20:31:3:App just loaded apiRoutes.js
Log - Dec-31-2020 | 20:31:3:App just loaded viewRoutes.js
Log - Dec-31-2020 | 20:31:3:Connected to mongodb://localhost:27017/littleeinsteins
Log - Dec-31-2020 | 20:58:12:App just loaded apiRoutes.js
Log - Dec-31-2020 | 20:58:12:App just loaded viewRoutes.js
Log - Dec-31-2020 | 20:58:12:Connected to mongodb://localhost:27017/littleeinsteins
